source,headline,url,published_at
cnn,The beloved Dyson Supersonic hair dryer is at its lowest price ever,https://www.cnn.com/cnn-underscored/deals/dyson-supersonic-sale-2023-04-17?iid=CNNUnderscoredHPcontainer?iid=CNNUnderscoredHPcontainer,
cnn,"Everything you need to know about Way Day 2023, Wayfair's biggest sale of the year",https://www.cnn.com/cnn-underscored/deals/wayfair-way-day-2023-04-17?iid=CNNUnderscoredHPcontainer,
cnn,The 10 best Amazon deals to shop this week,https://www.cnn.com/cnn-underscored/deals/best-amazon-deals-2023-04-12?iid=CNNUnderscoredHPcontainer,
cnn,Mifepristone saved my life,https://www.cnn.com/2023/04/18/opinions/medication-abortion-mifepristone-miscarriage-jones-ctpr/index.html,2023-04-18T11:30:00Z
cnn,The 2024 presidential alternative many voters will want,https://www.cnn.com/2023/04/18/opinions/2024-presidential-election-alternative-voters-lieberman,
cnn,Why isn't the House Judiciary Committee looking into Thomas?,https://www.cnn.com/2023/04/17/opinions/jim-jordan-clarence-thomas-judiciary-committee-obeidallah/index.html,2023-04-17T11:37:37Z
cnn,Top secrets come spilling out,https://www.cnn.com/2023/04/16/opinions/top-secrets-come-spilling-out-opinion-column-galant/index.html,2023-04-16T11:22:36Z
cnn,How did Sudan go from casting off despotic rule to this?,https://www.cnn.com/2023/04/17/opinions/sudan-revolution-to-civil-war-lynch/index.html,2023-04-17T22:45:23Z
cnn,Michelle Yeoh set to return in new 'Star Trek' movie,https://www.cnn.com/2023/04/18/entertainment/michelle-yeoh-star-trek-section-31/index.html,2023-04-18T19:11:23Z
cnn,Recap: 'Succession' finds dark humor in the aftershocks,https://www.cnn.com/2023/04/16/entertainment/succession-season-4-episode-4-recap/index.html,2023-04-17T02:28:12Z
cnn,"'Yellowjackets' leans hard into '90s music nostalgia, and we're here for it",https://www.cnn.com/2023/04/14/entertainment/yellowjackets-90s-music/index.html,2023-05-01T23:02:04Z
cnn,Jeremy Renner revisits 'the amazing group of people' who helped him recover from his accident,https://www.cnn.com/2023/04/16/entertainment/jeremy-renner-update/index.html,2023-04-16T19:04:10Z
cnn,Review: 'Barry' takes a whack at its farewell season,https://www.cnn.com/2023/04/14/entertainment/barry-season-4-review/index.html,2023-04-14T12:33:08Z
guardian,‘We want closure’: family searches for answers over Kenyan police officer missing in Haiti,https://www.theguardian.com/world/2025/jul/06/kenya-benedict-kabiru-kuria-police-officer-missing-haiti,2025-07-06T07:00:33Z
guardian,US judge clears path for eight immigrants to be deported to South Sudan,https://www.theguardian.com/us-news/2025/jul/04/south-sudan-deportations-halted,2025-07-05T01:53:35Z
guardian,UNAids chief ‘shaken and disgusted’ by US cuts that will mean millions more deaths,https://www.theguardian.com/global-development/2025/jul/04/us-aid-cuts-kill-millions-unaids-head-winnie-byanyima,2025-07-04T05:00:08Z
